gene,cell_line,lineage,demeter2_score,is_essential,data_source,license
BRAF,ACH-sh0000,SKIN,-0.5719,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0001,CRC,-0.6324,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0002,CRC,-0.659,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0003,HEMA,-0.5157,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0004,SKIN,-0.5305,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0005,LUNG,-0.5229,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0006,HEMA,-0.378,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0007,LUNG,-0.49,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0008,BREAST,-0.2156,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0009,BREAST,-0.4271,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0010,OTHER,-0.389,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0011,OTHER,-0.4264,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0012,LUNG,-0.8096,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0013,LUNG,-0.7375,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0014,BREAST,-0.3888,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0015,CRC,-0.6568,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0016,LUNG,-0.6064,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0017,OTHER,-0.6349,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0018,HEMA,-0.4124,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0019,PANC,-0.6383,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0020,PANC,-0.5755,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0021,OTHER,-0.4248,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0022,SKIN,-0.6611,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0023,OTHER,-0.3065,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0024,OTHER,-0.6144,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0025,CRC,-0.6387,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0026,CRC,-0.6599,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0027,HEMA,-0.3156,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0028,CRC,-0.5857,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0029,BREAST,-0.3247,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0030,LUNG,-0.5732,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0031,PANC,-0.6028,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0032,CRC,-0.7045,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0033,BREAST,-0.5109,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0034,PANC,-0.5948,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0035,CRC,-0.5662,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0036,BREAST,-0.5332,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0037,PANC,-0.4166,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0038,LUNG,-0.5604,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0039,BREAST,-0.5938,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0040,BREAST,-0.2563,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0041,CRC,-0.8187,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0042,SKIN,-0.3983,0,Project_Achilles_simulation,CC_BY_4.0
