gene,cell_line,lineage,chronos_score,is_essential,data_source,license
BRAF,ACH-00000,HEMA,-0.6613,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00001,BREAST,-0.4113,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00002,OTHER,-0.5448,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00003,BRAIN,-0.5924,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00004,CRC,-0.7659,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00005,OTHER,-0.5165,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00006,HEMA,-0.4575,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00007,HEMA,-0.7,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00008,CRC,-0.9062,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00009,BREAST,-0.3843,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00010,BREAST,-0.6119,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00011,OTHER,-0.7625,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00012,SKIN,-0.4834,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00013,HEMA,-0.4805,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00014,BREAST,-0.7796,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00015,LUNG,-0.7156,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00016,PANC,-0.6397,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00017,CRC,-0.6938,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00018,HEMA,-0.4552,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00019,SKIN,-0.7606,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00020,HEMA,-0.5003,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00021,BREAST,-0.5954,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00022,OTHER,-0.6224,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00023,OTHER,-0.4194,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00024,HEMA,-0.3281,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00025,LUNG,-0.4808,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00026,PANC,-0.5528,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00027,CRC,-0.7665,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00028,CRC,-0.6971,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00029,BRAIN,-0.435,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00030,BRAIN,-0.5318,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00031,OTHER,-0.5304,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00032,BREAST,-0.4264,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00033,BREAST,-0.5589,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00034,PANC,-0.8594,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00035,LUNG,-0.8122,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00036,CRC,-0.6549,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00037,PANC,-0.7496,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00038,LUNG,-0.699,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00039,BRAIN,-0.4495,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00040,BREAST,-0.6062,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00041,HEMA,-0.4366,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00042,BRAIN,-0.4932,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00043,LUNG,-0.9352,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00044,HEMA,-0.3337,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00045,HEMA,-0.6251,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00046,BREAST,-0.7983,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00047,LUNG,-0.9068,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00048,BRAIN,-0.7032,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00049,CRC,-0.7422,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00050,LUNG,-0.7911,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00051,CRC,-0.8005,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00052,HEMA,-0.457,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00053,BRAIN,-0.499,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00054,BRAIN,-0.5026,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00055,HEMA,-0.4885,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00056,BREAST,-0.4576,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00057,SKIN,-0.8662,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00058,CRC,-0.8047,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00059,CRC,-1.077,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00060,BRAIN,-0.5446,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00061,PANC,-0.7507,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00062,SKIN,-0.3932,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00063,HEMA,-0.3719,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00064,SKIN,-0.5196,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00065,PANC,-0.8251,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00066,PANC,-0.6772,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00067,LUNG,-0.8292,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00068,CRC,-0.7502,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00069,BREAST,-0.4021,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00070,LUNG,-0.8337,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00071,BREAST,-0.4291,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00072,OTHER,-0.4484,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00073,LUNG,-0.8932,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00074,CRC,-0.6039,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00075,LUNG,-0.6452,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00076,LUNG,-0.7347,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00077,BRAIN,-0.6643,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00078,PANC,-0.8789,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00079,HEMA,-0.6306,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00080,BRAIN,-0.4686,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00081,BREAST,-0.6933,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00082,HEMA,-0.4844,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00083,CRC,-0.9363,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00084,CRC,-0.7806,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00085,CRC,-0.7336,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00086,BRAIN,-0.1832,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00087,PANC,-0.9566,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00088,CRC,-0.5292,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00089,PANC,-0.7275,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00090,CRC,-0.6883,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00091,BRAIN,-0.5322,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00092,BREAST,-0.4833,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00093,BREAST,-0.5731,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00094,LUNG,-0.5319,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00095,SKIN,-0.6185,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00096,BREAST,-0.3802,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00097,CRC,-0.8467,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00098,CRC,-0.759,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00099,OTHER,-0.7108,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00100,OTHER,-0.4817,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00101,BRAIN,-0.3332,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00102,LUNG,-0.7616,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00103,OTHER,-0.5795,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00104,HEMA,-0.7172,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00105,BRAIN,-0.5844,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00106,BREAST,-0.7889,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00107,LUNG,-0.8869,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00108,CRC,-0.716,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00109,OTHER,-0.3521,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00110,BREAST,-0.1286,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00111,LUNG,-0.838,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00112,LUNG,-0.5347,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00113,SKIN,-0.5134,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00114,CRC,-0.7727,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00115,OTHER,-0.4851,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00116,HEMA,-0.5407,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00117,BRAIN,-0.5334,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00118,BREAST,-0.6112,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00119,SKIN,-0.7597,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00120,SKIN,-0.7815,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00121,SKIN,-0.452,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00122,CRC,-0.7915,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00123,BREAST,-0.6394,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00124,CRC,-0.7487,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00125,PANC,-0.6308,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00126,BREAST,-0.5229,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00127,CRC,-0.8484,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00128,CRC,-0.5661,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00129,SKIN,-0.3131,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00130,CRC,-0.6758,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00131,OTHER,-0.404,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00132,SKIN,-0.3637,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00133,BREAST,-0.3805,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00134,SKIN,-0.4579,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00135,CRC,-0.6602,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00136,OTHER,-0.4721,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00137,PANC,-0.9146,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00138,HEMA,-0.4449,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00139,CRC,-0.9534,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00140,PANC,-0.8692,1,DepMap_26Q1_simulation,CC_BY_4.0
