gene,cell_line,guide_id,n_cells_post_qc,deg_count,top_program,data_source,license
BRAF,K562,sgBRAF_0000,163,228,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0001,129,310,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0002,144,266,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0003,108,138,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0004,131,179,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0005,144,236,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0006,97,241,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0007,141,234,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0008,96,240,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0009,130,285,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0010,141,147,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0011,105,268,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0012,69,282,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0013,94,186,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0014,163,214,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0015,110,242,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0016,117,169,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0017,127,390,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0018,147,255,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0019,127,283,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0020,138,151,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0021,135,224,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0022,171,203,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0023,157,127,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0024,129,163,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0025,93,282,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0026,90,208,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0027,98,251,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
BRAF,K562,sgBRAF_0028,128,46,MAPK_signaling,Replogle_2022_GSE161462_simulation,CC_BY_4.0
